[probe] server healthy: {'status': 'ok', 'model': 'deepseek-v4-flash-0731-reap', 'context_len': 0, 'seqmax': 16384, 'busy': True}
[probe] corpus LOOP_LOG.md ac10134c87e3d0fe   control COMPRESSION_PLAYBOOK.md 79ac6563f97e53e5
[probe] sweep-t384-r3: pt=364 cached=None ct=256 prefill=0ms decode=23192ms tau=1.407 -> 127.43 ms/forward  (23s)
[probe] sweep-t384-r4: pt=364 cached=None ct=256 prefill=0ms decode=17474ms tau=2.016 -> 137.59 ms/forward  (17s)
[probe] sweep-t384-r5: pt=364 cached=None ct=256 prefill=0ms decode=21627ms tau=1.515 -> 127.97 ms/forward  (22s)
[probe] sweep-t128-r0: pt=121 cached=None ct=256 prefill=0ms decode=20302ms tau=1.610 -> 127.68 ms/forward  (20s)
[probe] sweep-t128-r1: pt=121 cached=None ct=256 prefill=0ms decode=20044ms tau=1.610 -> 126.06 ms/forward  (20s)
[probe] sweep-t128-r2: pt=121 cached=None ct=256 prefill=0ms decode=19514ms tau=1.673 -> 127.54 ms/forward  (20s)
[probe] sweep-t128-r3: pt=121 cached=None ct=256 prefill=0ms decode=19631ms tau=1.662 -> 127.48 ms/forward  (20s)
[probe] sweep-t128-r4: pt=121 cached=None ct=256 prefill=0ms decode=20439ms tau=1.542 -> 123.13 ms/forward  (20s)
[probe] sweep-t128-r5: pt=121 cached=None ct=256 prefill=0ms decode=19858ms tau=1.673 -> 129.79 ms/forward  (20s)
[probe] control-t6144-r0: pt=6120 cached=None ct=256 prefill=126213ms decode=26495ms tau=1.753 -> 181.47 ms/forward  (153s)
[probe] control-t6144-r1: pt=6120 cached=None ct=256 prefill=0ms decode=25257ms tau=1.842 -> 181.71 ms/forward  (25s)
[probe] control-t1536-r0: pt=1528 cached=None ct=256 prefill=0ms decode=20262ms tau=1.925 -> 152.34 ms/forward  (20s)
[probe] control-t1536-r1: pt=1528 cached=None ct=256 prefill=0ms decode=20400ms tau=1.855 -> 147.83 ms/forward  (20s)
[probe] wrote 52 usable records -> evidence/decode_loop/fit/postfix.sweep.jsonl and evidence/decode_loop/fit/control.fresh.jsonl
